Catering	La Universal	MONDAY	TUESDAY	WEDNESDAY	THURSDAY	FRIDAY
		2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20
Event	Diet	Monday	Tuesday	Wednesday	Thursday	Friday
Breakfast	Regular	HOLIDAY	* Ham and cheese sandwich (1pc) OR * Scrambled eggs with turkey sausage OR * 1/2 sandwich + 1/2 portion of scrambled eggs	* Whole wheat quesadillas with chorizo / turkey ham (1pc) OR * Scrambled eggs with ham OR * 1/2 Quesadilla + 1/2 portion of scrambled eggs	* Red sauce,spiced porkrind tacos OR * Egg tortilla bathed in tomato sauce OR * 1/2 portion of porkrind + 1/2 Egg tortilla	* Trivorced chilaquiles (Creamy chipotle, green tomatillo and red tomato sauce) OR * Scrambled eggs with machaca OR * 1.2 portion of chilaquitles + 1/2 portion of scrambled eggs
Breakfast	Light	HOLIDAY	Scrambled egg whites	Scrambled egg whites with diced onions and bellpeppers	Scrambled egg whites	Scrambled egg whites with chorizo
Breakfast	Vegan	HOLIDAY	Veggie sandwich 1pc	Whole wheat quesadillas with vegan cheese and vegetables	Poblano strips with corn tacos	Trivorced chilaquiles (Green tomatillo and red tomato sauce)
Breakfast	Vegetarian	HOLIDAY	* 3 cheeses sandwich (1pc) OR * Scrambled eggs with soy chorizo OR * 1/2 sandwich + 1/2 portion of scrambled eggs	* Whole wheat quesadillas with cheese and bellpeppers (1pc) OR * Scrambled eggs mexican style OR * 1/2 Quesadilla + 1/2 portion of scrambled eggs	* Cream poblano strips with corn tacos OR * Egg tortilla bathed in tomato sauce OR * 1/2 portion of poblano strips + 1/2 egg tortilla	* Trivorced chilaquiles (Creamy chipotle, green tomatillo and red tomato sauce) OR * Scrambled eggs with bell peppers OR * 1.2 portion of chilaquitles + 1/2 portion of scrambled eggs
Lunch	Regular	HOLIDAY	* HONEY MUSTARD CHICKEN STRIPS Side Dishes:  Fresh fusilli salad  / Steamed green beans	* BEEF TINGA Side Dishes:  Red rice / Charro beans	* BBQ RIBS Side Dishes:  Mashed potatoes / Yellow corn on the cob	* "BAJA STYLE" FISH AND SHRIMP TACOS Side Dishes:  Steamed cauliflower and carrots / Coleslaw
Lunch	Light	HOLIDAY	* CHICKEN BREAST WITH OPTIONAL: HONEY MUSTARD  Side Dishes:  Fresh lentil salad  / Steamed green beans	* BEEF TINGA Side Dishes:  Red rice / Charro beans (Light)	* BBQ PORKSTEAK Side Dishes:  Mashed sweet potatoes / Yellow corn on the cob	* SKINNY FISH AND SHRIMP TACOS Side Dishes:  Steamed cauliflower and carrots / Coleslaw
Lunch	Vegan	HOLIDAY	* RICE BALLS WITH TOFU Side Dishes:  Fresh lentil salad  Steamed green beans	* CARROT AND CABBAGE TINGA Side Dishes:  Red rice  / Charro beans (with soy chorizo)	* BBQ MUSHROOMS Side Dishes:  Mashed potatoes / Yellow corn on the cob	* "BAJA STYLE" VEGGIE TACOS Side Dishes:  Steamed cauliflower and carrots / Coleslaw
Lunch	Vegetarian	HOLIDAY	* RICE BALLS WITH CHEESE Side Dishes:  Fresh fusilli salad  Steamed green beans	* CARROT AND CABBAGE TINGA Side Dishes:  Red rice  / Charro beans (with soy chorizo)	* BBQ MUSHROOMS Side Dishes:  Mashed potatoes / Yellow corn on the cob	* "BAJA STYLE" VEGGIE TACOS Side Dishes:  Steamed cauliflower and carrots / Coleslaw
Lunch	Extras	HOLIDAY	MIXED LETTUCE SALAD	ROMAINE SALAD	ROMAINE SALAD	OREJONA WITH ICEBERG LETTUCE SALAD
Dinner	Regular	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
Dinner	Vegan	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
Dinner	Vegetarian	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
