Catering	La Universal	MONDAY	TUESDAY	WEDNESDAY	THURSDAY	FRIDAY
		2020-01-13	2020-01-14	2020-01-15	2020-01-16	2020-01-17
Event	Diet	Monday	Tuesday	Wednesday	Thursday	Friday
Breakfast	Regular	* Shredded porkleg burritos (2pcs) OR * Scrambled eggs with turkey chorizo OR * 1 Burrito + 1/2 portion of scrambled eggs	* Beef strips in green sauce OR * Scrambled eggs with bacon OR * 1/2 portion of beef + 1/2 portion of scrambled eggs	* Ham & cheese bagel (1pc) OR * Scrambled eggs with turkey sausage OR * 1/2 Bagel + 1/2 portion of scrambled eggs	* Porkrind (Chicharrón) gorditas (3pc) OR * Scrambled eggs with chorizo OR * 1.5 Gorditas + 1/2 portion of scrambled eggs	* Tacos de barbacoa (4pcs) OR * Scrambled eggs with machaca OR * 2 Tacos + 1/2 portion of scrambled eggs
Breakfast	Light	Scrambled egg whites mexican style	Scrambled egg whites	Scrambled egg whites with turkey ham	Scrambled egg whites	Scrambled egg whites with nopales
Breakfast	Vegan	Bean burritos (2pcs)	Potatoes in green sauce	Veggie bagel (1pc)	Mushroom gorditas (3pcs)	Potato and soy chorizo tacos (4pcs)
Breakfast	Vegetarian	* Bean and cheese burritos (2pcs) OR * Scrambled eggs mexican style OR * 1 Burrito + 1/2 portion of scrambled eggs	*  Potatoes in green sauce OR * Scrambled eggs with bellpepper OR * 1/2 portion of beef + 1/2 portion of scrambled eggs	* 3 cheese bagel (1pc) OR * Scrambled eggs with spinach OR * 1/2 Bagel + 1/2 portion of scrambled eggs	* Cheese gorditas (3pc) OR * Scrambled eggs with nopales OR * 1.5 Gorditas + 1/2 portion of scrambled eggs	* Potato and soy chorizo tacos (4pcs) OR * Scrambled eggs with mushrooms OR * 2 Tacos + 1/2 portion of scrambled eggs
Lunch	Regular	* BREADED FISH Side Dishes:  White rice with vegetables / Coleslaw	* PORKLOIN IN ORANGE SAUCE Side Dishes:  Tomato maccaroni / Carrot and pineapple salad	* MEXICAN GROUNDBEEF PICADILLO Side Dishes:  Red rice / Refried beans	* GEMMA STYLE BATHED LONCHES (SHREDDED PORK) Side Dishes:  Panela slice / Avocado	* CREAMY CAJUN CHICKEN Side Dishes:  Parmesan and lemon penne pasta / Steamed chayote
Lunch	Light	* FISH WITH OPTIONAL AVOCADO AND CILANTRO SAUCE Side Dishes:  Brown rice / Coleslaw	* PORKLOIN IN ORANGE SAUCE Side Dishes:  Lentil soup / Carrot and pineapple salad	* MEXICAN GROUNDBEEF PICADILLO Side Dishes:  Red rice / Refried beans (low fat)	* PORKLOIN TOSTADAS Side Dishes:  Panela slice / Avocado	* CAJUN CHICKEN BREAST Side Dishes:  Sweet potato, quinoa and chickpea with marinated cabbage salad
Lunch	Vegan	* JAMAICA TACOS Side Dishes:  White rice with vegetables / Vegan coleslaw	* BREADED EGGPLANT Side Dishes:  Tomato maccaroni / Carrot and pineapple salad	* STUFFED CHILES WITH QUINOA AND VEGGIES Side Dishes:  Red rice / Refried beans	* BATHED LONCHE (GEMMA STYLE) Side Dishes:  Tomato slice / Avocado	* STUFFED AVOCADO WITH VEGETABLES AND LENTILS Side Dishes:  Lemon penne pasta / Steamed chayote 
Lunch	Vegetarian	* JAMAICA TACOS Side Dishes:  White rice with vegetables / Coleslaw	* BREADED EGGPLANT Side Dishes:  Tomato maccaroni / Carrot and pineapple salad	* STUFFED CHILES WITH QUINOA AND VEGGIES Side Dishes:  Red rice / Refried beans	* BATHED LONCHE (GEMMA STYLE) Side Dishes:  Tomato slice / Avocado	* STUFFED AVOCADO WITH VEGETABLES AND LENTILS Side Dishes:  Lemon penne pasta / Steamed chayote 
Lunch	Extras	MIXED LETTUCE SALAD	SPINACH	ROMAINE SALAD	ROMAINE SALAD	MIXED SALAD
Dinner	Regular	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
Dinner	Vegan	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
Dinner	Vegetarian	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
